Comedor VIP y terraza (2do piso) para 80 personas 8 horas uso diurno,1,1,365000,365000,Comedor en 2do piso con terraza para servicios de alimentacion exclusivos. Posee una terraza exclusiva.
"Comedor truchita o ex poo y terraza para 35 personas, 8 horas uso diurno",1,1,250000,250000,Comedor exclusivo para maximo  35 personas
"Arriendo pergola con parrilla para 16 personas, 8 horas uso diurno",1,1,250000,250000,Pergola exclusiva con parrilla
"Comedor VIP y terraza (2do piso) para 70 personas 1,5 hrs / AM O PM (ALMUERZO O CENA)",1,1,265000,265000,Comedor en 2do piso con terraza para servicios de alimentacion exclusivos. Posee una terraza exclusiva.
"Comedor truchita o ex pool y terraza para 35 personas 1,5 horas / AM O PM (ALMUERZO O CENA)",1,1,150000,150000,Comedor exclusivo para maximo  35 personas
"Arriendo pergola con parrilla para 16 personas, 4 horas",1,1,150000,150000,Pergola exclusiva con parrilla
"Arriendo pergola picadero solo con autorizacion, 2 dias antes.",1,1,100000,100000,Arriendo por una pergola techada en el sector del picadero.
