Categoria,Item,Horario,Valor Original,Valor Fijo,Valor por persona,Detalle de servicios.
Actividades ,Fogon pequeño (Fogata pequeña),,$100.000,"100.000,00","0,00",Fogata chica en calderos o pergola. Duración 2.5 horas.
Actividades ,Fogata grande,,$250.000,"250.000,00","0,00",Fogata grande en actividad de luz. Duración 2.5 horas.
Actividades ,Clase de pesca con mosca 3 horas(9 am a 12pm),,$63.025,"63.025,00","0,00",
Actividades ,Arriendo de Caña ,,$12.605,"12.605,00","0,00","Solo caña  todo el dia, las moscas tienen un valor adicional."
Actividades ,"Paseos a Caballo exclusivos, minimo 4 pasajeros, duracion 3-4 horas. Maximo 20 personas",,$42.017,"42.017,00","0,00","Paseo comienza con una clinica intruductoria y luego practica, donde conoceran el cajón de san francisco y sus bondades. Paseo incluye un agua por persona"
Actividades ,Paseo a caballo Vertiente del toro,,$109.000,"109.000,00","0,00",4 horas + induccion Almuerzo+cena+ activiades
Actividades ,Paseo a caballo Altos del Guindo,,$119.000,"119.000,00","0,00",5 horas + induccion Almuerzo+cena+ activiades
Actividades ,Uso de actividades,Ver horarios publicados en recepción ,"$21,008","21,00","0,00","Cabalgatas, canopy, kayak, botes, stand up paddle, cancha de tenis, minigolf, piscina temperada, piscina exterior, camillas de cuarzo, circuitos de trekking etc.."
Actividades ,Uso de actividades por cortesía,Ver horarios publicados en recepción ,$0,"0,00","0,00","Cabalgatas, canopy, kayak, botes, stand up paddle, cancha de tenis, minigolf, piscina temperada, piscina exterior, camillas de cuarzo, circuitos de trekking etc.."
Actividades ,Yoga,,300.000 + 10.000 pesos por persona,"300.000,00","10.000,00","Yoga, actividades de respiracion y relajacion por 1 hora, incluye un agua mineral por persona"
Teambuilding,Paintball,,1.000.000+ 35.000 por persona,"1.000.000,00","35.000,00","Juego de paintball, incluye un agua por persona. Duracion aproximada 2 horas. Inlcuye primera carga de pelotas, con posibilidad de recarga por 15.000+ iva por persona"
Teambuilding,Busqueda de tesoro,,500.000+ 15.000 por persona,"500.000,00","15.000,00","duracion actividad 2,5 horas"
Teambuilding,Actividad de la luz,21:30- 23:00,500.000+ 15.000 por persona,"500.000,00","15.000,00","duracion actividad 1,5 horas aprox"
Teambuilding,Alianzas,,500.000+ 15.000 por persona,"500.000,00","15.000,00",Duracion 2 horas aprox
Teambuilding,El herido,,500.000+ 15.000 por persona,"500.000,00","15.000,00","Duracion 2,5 horas aprox"
Teambuilding,El Naufrago,,1.000.000 + 20.000 por persona,"1.000.000,00","20.000,00",duracion 2 horas aprox
Teambuilding,El Naufrago Full,,1.000.000+ 35.000 por persona,"1.000.000,00","35.000,00","Duracion 2,5 horas aprox"
Teambuilding,Conquistando la Cumbre,,500.000+ 15.000 por persona,"500.000,00","15.000,00",
Actividades ,Tiro con Arco,,660.000+ 10.000 por persona,"660.000,00","10.000,00",
Teambuilding,Mision y Vision,,500.000+ 15.000 por persona,"500.000,00","15.000,00",
Teambuilding,Fabrica de sal,,500.000+ 15.000 por persona,"500.000,00","15.000,00",duracion 1 hora aprox
Teambuilding,La Pizza Nostra Per Tutti,,575.000+55.000 por persona,"575.000,00","55.000,00",
Teambuilding,La Pizza Nostra,,575.000+30.000 por persona,"575.000,00","30.000,00",
Teambuilding,The Boss Grill,,400.000 + 55.000 por persona,"400.000,00","55.000,00",
Teambuilding,Cocinando Equipos,,750.000 + 55.000 por persona,"750.000,00","55.000,00",
Teambuilding,Formando un Jinete,,,,,
Teambuilding,Master Chef Corporativo,,750.000+30.000 por persona,"750.000,00","30.000,00",Cada grupo debe preparar los mejores platos
Teambuilding,De La Masa Al Plato,,500.000+ 55.000 por persona,"500.000,00","55.000,00",
Teambuilding,Parrillada en Equipo,,500.000+ 65.000 por persona,"500.000,00","65.000,00",
Teambuilding,Taller de Pizza y Birra,,,,,
Teambuilding,Karaoke con copas y tapas,,650.000+ 46.800 por persona,"650.000,00","46.800,00",
Teambuilding,Taller de Brasas y Tinto: Sabores al Fuego!,,,,,
Teambuilding,Corderos & Vinos,,500.000+ 50.000 por persona,"500.000,00","50.000,00",
Actividades ,Safari Ecuestre,,,,,
Actividades ,Trekking al mirador,,,,,
Actividades ,Cata de Vinos,,300.000+ 24.000 por persona,"300.000,00","24.000,00",
"Teambuilding, actividades de pausa",Los Neumaticos,,150.000 + 3.000 por persona,"150.000,00","3.000,00",actividades de pausa de 15- 30 minutos aprox. cada una
"Teambuilding, actividades de pausa",Totem,,150.000 + 3.000 por persona,"150.000,00","3.000,00",actividades de pausa de 15- 30 minutos aprox. cada una
"Teambuilding, actividades de pausa",La estrella,,150.000 + 3.000 por persona,"150.000,00","3.000,00",actividades de pausa de 15- 30 minutos aprox. cada una
"Teambuilding, actividades de pausa",Tirar la cuerda,,150.000 + 3.000 por persona,"150.000,00","3.000,00",actividades de pausa de 15- 30 minutos aprox. cada una
"Teambuilding, actividades de pausa",El equilibrio,,150.000 + 3.000 por persona,"150.000,00","3.000,00",actividades de pausa de 15- 30 minutos aprox. cada una
"Teambuilding, actividades de pausa",El Enredo,,150.000 + 3.000 por persona,"150.000,00","3.000,00",actividades de pausa de 15- 30 minutos aprox. cada una
"Teambuilding, actividades de pausa",Baile Entretenido,,150.000 + 3.000 por persona,"150.000,00","3.000,00",actividades de pausa de 15- 30 minutos aprox. cada una
"Teambuilding, actividades de pausa",Gimnasia de Pausa ,,150.000 + 3.000 por persona,"150.000,00","3.000,00",actividades de pausa de 15- 30 minutos aprox. cada una
"Teambuilding, actividades de pausa",Yoga,,150.000 + 3.000 por persona,"150.000,00","3.000,00",actividades de pausa de 15- 30 minutos aprox. cada una
"Teambuilding, actividades de pausa",La Bolita,,150.000 + 3.000 por persona,"150.000,00","3.000,00",actividades de pausa de 15- 30 minutos aprox. cada una
"Teambuilding, actividades de pausa",Ula Ula,,150.000 + 3.000 por persona,"150.000,00","3.000,00",actividades de pausa de 15- 30 minutos aprox. cada una
"Teambuilding, actividades de pausa",Carrera de Sacos ,,150.000 + 3.000 por persona,"150.000,00","3.000,00",actividades de pausa de 15- 30 minutos aprox. cada una
"Teambuilding, actividades de pausa",Bob Esponja,,150.000 + 3.000 por persona,"150.000,00","3.000,00",actividades de pausa de 15- 30 minutos aprox. cada una
