Categoria,Item,Horario,Valor Original,Valor Fijo,Valor por persona,Detalle de servicios.
Servicios para fiestas,Hora extra DJ y/o Karaoke por 4 hrs para grupos menores 50 Pax,,$276.250,"276.250,00","0,00",hora extra 
Servicios para fiestas,DJ y/o Karaoke para grupos mayores a 50 Pax,21:00- 1:00,$1.200.000,"1.200.000,00","0,00","Dj y karaoke por 4 horas,( agregar salon)"
Servicios para fiestas,Hora extra DJ y/o Karaoke para grupos mayores a 50 Pax,,$390.000,"390.000,00","0,00",hora extra 
Servicios para fiestas,"Salon chinook con fogata, hasta 300 personas, 4 horas noche",21:00- 1:00,$500.000,"500.000,00","0,00",Salon para fiestas y karaokes con terraza exclusiva . Incluye fogata en terraza y tiene arranque trifasico para productoras
Servicios para fiestas,"Salon chinook con fogata, hasta 300 personas",19:00.1:00,$750.000,"750.000,00","0,00",Salon para fiestas y karaokes con terraza exclusiva . Incluye fogata en terraza y tiene arranque trifasico para productoras. 
Servicios para fiestas,"Comedor VIP con fogata, 2 piso hasta 70 personas, 4 horas noche",21:00- 1:00,$360.000,"360.000,00","0,00","Comedor en 2do piso con terraza para fiestas o Karaokes exclusivos, incluye fogata en terraza"
Servicios para fiestas,"Comedor VIP con fogata, 2 piso hasta 70 personas",19:00.1:00,$540.000,"540.000,00","0,00",Comedor en 2do piso con terraza para servicios de alimentacion exclusivos. Posee una terraza exclusiva.
Servicios para fiestas,"Espacio del Bar para karaoke, hasta 50 personas por 4 hrs noche",21:00- 1:00,$300.000,"300.000,00","0,00",Espacio del bar principal del hotel para la realizacion de karaokes
Servicios para fiestas,"Domo para fiestas con fogata, hasta 250 personas, 4 horas noche",21:00- 1:00,$600.000,"600.000,00","0,00",Domo para fiestas y karaokes con amplios jardines.Incluye fogata y tiene arranque trifasico para productoras.
Servicios para fiestas,"Lounge en terrazas (sillones, mesas y fogones), hasta 50 pax. Valor  persona",,$8.000,"0,00","8.000,00","Lugares: Terraza chinook, terraza comedor  chico( ex pool), terraza comedor 2do piso y Domo. Valor por persona"
Bebidas  y Bar,Ticket de trago,,$4.850,"4.850,00","0,00","1 trago pp a escoger entre: Piscola ( Mistral 35), Roncola (Havanna),  vodka (wyborowa), Whisky( Ballantines finest 3 años), Gin beefeter, Ramazzotti,  Daiquiri, Pisco sour, Kir Royal, Piña Colada con y sin alcohol, Copa de vino castillo molina( blanco y tinto) , copa de espumante Viña Mar Brut, cervezas en botella tales como Sol, Heineken con y sin alcohol,  Austral y Kunstmann. Las bebidas son de marcas CCU."
Bebidas  y Bar,Ticket de cerveza,,$3.529,"3.529,00","0,00","Ticket de cerveza en botella tales como: Sol, Heineken, Austral o Kunstmann."
