Valor Pax adicional en la misma habitacion,1,1,43907.6,43907.6,"Check in de habitaciones desde las 4 PM.Incluye: desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, minigolf, baby, pesca con mosca y piscina temperada"
"Early check in, por habitacion de hotel",1,1,29411.76471,29411.76471,"Check in anticipado desde las 12:00, segun disponibilidad."
"Late check out, por habitacion de hotel",1,1,29411.76471,29411.76471,"Check out hasta las 16:00, segun disponibilidad"
"Early check in, por cabaña",1,1,46218.48739,46218.48739,"Check in anticipado desde las 12:00, segun disponibilidad."
"Late check out, por cabaña",1,1,46218.48739,46218.48739,"Check out hasta las 16:00, segun disponibilidad"
"Traslado de maletas, entrega y retiro fuera de las habitaciones, valor por persona",1,1,5000,5000,
"Productos o regalos en las habitaciones, valor por persona",1,1,2000,2000,"Regalos, aguas o algun detalle en las habitaciones, precio por persona"
