Alojamiento,Hora,Uds,Nº Pax,Valor neto,TOTAL,Detalle de servicios.
Habitación single hotel B&B,,1,1,120630,120630,"Desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, pesca con mosca y piscina temperada"
Habitación Doble hotel B&B,,1,1,189219,189219,"Desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, pesca con mosca y piscina temperada"
Habitación Triple hotel B&B,,1,1,239712,239712,"Desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, pesca con mosca y piscina temperada"
Habitación Cuadruple hotel  B&B,,1,1,290206,290206,"Desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, pesca con mosca y piscina temperada"
Habitación Quintuple hotel B&B,,1,1,342097,342097,"Desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, pesca con mosca y piscina temperada"
"Valor 6 pasajeros, en cabaña B&B",,1,1,393987,393987,"Desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, pesca con mosca y piscina temperada"
"Valor 7 pasajeros, en cabaña B&B",,1,1,445870,445870,"Desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, pesca con mosca y piscina temperada"
"Valor 8 pasajeros, en cabaña B&B",,1,1,497769,497769,"Desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, pesca con mosca y piscina temperada"
