Tecnica para salones uso diurno., ,1,1,165000,165000,"Data, amplificacion, 2 microfonos para uso en el dia."
Audio 4 horas en la noche,,1,1,300000,300000,"Data, amplificacion, 2 microfonos para uso noche."
Amplificacion exterior,,1,1,200000,200000,2 parlantes con microfono ubicado en exteriores cercanos a algun punto electrico.
Microfono inalambrico adicional,,1,1,50000,50000,
Microfono solapa adicional,,1,1,50000,50000,
Operador para audio 8 hrs,8:30-18:30,1,1,140000,140000,Operador de audio para salon diurno. Se debe agregar tecnica que desee operar.
Papelografo adicional para el salon,,1,1,30000,30000,Total en el hotel 8
